,index,name_x,name_y,cardwin_x,w_x,turn_x,turn_y,winrates,winrates_x,winrates_y,combowin,meanturn
394,263894,Small-Time Buccaneer,Flamewreathed Faceless,206.0,301,1839,1839,0.68438538206,0.521501732189,0.516120255748,0.933224073916,6.1096345515
399,268034,Southsea Deckhand,Feral Spirit,245.0,381,2222,2222,0.643044619423,0.515411495901,0.491946081928,0.930634669689,5.83202099738
37,11403,Arcane Explosion,Bloodmage Thalnos,142.0,226,1717,1717,0.628318584071,0.476408450704,0.521453919776,0.927906130686,7.59734513274
4,170094,Leeroy Jenkins,Eviscerate,499.0,629,5598,5598,0.793322734499,0.618143630342,0.511054805456,0.92078771917,8.89984101749
299,287083,The Coin,Bloodsail Cultist,1108.0,1682,4787,4787,0.658739595719,0.498950037839,0.52809266868,0.916305841402,2.84601664685
453,145836,Ice Barrier,Acolyte of Pain,223.0,346,2909,2909,0.64450867052,0.500236257678,0.516026720557,0.915004504022,8.40751445087
29,109437,Fireball,Frost Nova,838.0,1225,14568,14568,0.684081632653,0.579296477163,0.474057811928,0.912688858229,11.892244898
367,118356,Forbidden Shaping,Lesser Heal,169.0,271,3088,3088,0.623616236162,0.503478810879,0.498912687649,0.9093177186,11.3948339483
485,164596,Kill Command,Quick Shot,496.0,810,6361,6361,0.612345679012,0.508507565769,0.485849056604,0.907674150504,7.85308641975
415,108534,Fire Fly,Vanish,273.0,449,3186,3186,0.608017817372,0.513483520142,0.478458049887,0.906172992742,7.09576837416
371,306764,Vanish,Fire Fly,273.0,449,3186,3186,0.608017817372,0.478458049887,0.513483520142,0.906172992742,7.09576837416
331,133176,Grommash Hellscream,Slam,175.0,244,2829,2829,0.717213114754,0.580487804878,0.499468979556,0.905714020471,11.5942622951
27,45304,Cabalist's Tome,Sorcerer's Apprentice,866.0,1402,14799,14799,0.617689015692,0.48431417449,0.517443367373,0.902106497831,10.5556348074
13,109609,Fireball,Molten Reflection,1532.0,1739,22895,22895,0.880966072455,0.579296477163,0.617294520548,0.901613744144,13.1656124209
326,28638,Bilefin Tidehunter,Mimic Pod,181.0,290,2042,2042,0.624137931034,0.501435656487,0.505794353139,0.900521199242,7.04137931034
233,237060,Rockbiter Weapon,Lava Burst,399.0,528,4287,4287,0.755681818182,0.541382667965,0.567266495287,0.900420125211,8.11931818182
218,32774,Blizzard,Fireball,381.0,565,6930,6930,0.674336283186,0.475433860393,0.579296477163,0.895442027607,12.2654867257
238,169322,Lava Burst,Lightning Bolt,979.0,1357,10966,10966,0.721444362564,0.567266495287,0.521466558659,0.891536190937,8.08106116433
220,99994,Faceless Manipulator,Inner Rage,281.0,355,3882,3882,0.791549295775,0.618260006616,0.526369951119,0.888834051523,10.9352112676
432,258491,Silence,Holy Smite,137.0,209,2054,2054,0.655502392344,0.53006196617,0.50906522251,0.887587167946,9.82775119617
434,247952,Shadow Visions,Holy Smite,164.0,265,2202,2202,0.618867924528,0.50108892922,0.50906522251,0.886287424169,8.30943396226
483,297005,Tracking,Houndmaster,127.0,207,1363,1363,0.613526570048,0.472514387775,0.535899593325,0.884963836732,6.5845410628
228,121916,Frostbolt,Ice Lance,1414.0,2160,23686,23686,0.65462962963,0.512105542937,0.527849406911,0.884483132557,10.9657407407
137,253167,Shapeshift,Aya Blackpaw,1300.0,1890,15707,15707,0.687830687831,0.476436456776,0.596563432452,0.883778056289,8.31058201058
401,261072,Sir Finley Mrrgglton,Feral Spirit,164.0,269,1605,1605,0.609665427509,0.512661226639,0.491946081928,0.882681235173,5.96654275093
338,218105,Preparation,Bilefin Tidehunter,303.0,466,3028,3028,0.650214592275,0.536412717457,0.501435656487,0.882678572267,6.49785407725
216,111673,Firelands Portal,Fireball,161.0,208,2276,2276,0.774038461538,0.554493307839,0.579296477163,0.879507708462,10.9423076923
425,261029,Sir Finley Mrrgglton,Dread Corsair,155.0,251,1146,1146,0.617529880478,0.512661226639,0.500294424061,0.878670712407,4.56573705179
